N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
146,효성첨단소재,"421,000","20,500",-4.64%,"5,000","18,861","4,480",9.37,"37,792",8.78,0.03,
147,KODEX 200선물인버스2X,"2,510",70,+2.87%,0,"18,777","748,100",4.87,"207,977,334",N/A,N/A,
148,TIGER 미국나스닥100,"76,275","1,865",-2.39%,0,"18,520","24,280",0.04,"309,753",N/A,N/A,
149,효성티앤씨,"425,500","15,000",-3.41%,"5,000","18,414","4,328",15.80,"33,161",2.61,25.10,
150,후성,"19,800",850,-4.12%,500,"18,336","92,607",6.89,"1,107,881",66.67,2.79,
151,현대백화점,"77,100",700,+0.92%,"5,000","18,043","23,402",18.47,"121,210",11.66,1.65,
152,솔루스첨단소재,"56,900","1,600",-2.74%,100,"17,406","30,590",7.21,"335,950",-224.02,-5.10,
153,현대위아,"62,700","3,100",-4.71%,"5,000","17,051","27,195",6.70,"186,906",46.72,1.96,
154,효성,"80,300",800,-0.99%,"5,000","16,920","21,071",7.96,"43,776",4.37,-2.26,
155,코오롱인더,"61,400","2,800",-4.36%,"5,000","16,897","27,519",19.64,"167,756",9.53,9.70,
156,동원시스템즈,"57,800","2,000",-3.34%,"5,000","16,871","29,188",13.24,"74,483",26.18,10.97,
157,오뚜기,"455,500","1,000",+0.22%,"5,000","16,726","3,672",11.64,"2,974",15.12,7.93,
158,한샘,"71,000","1,500",-2.07%,"1,000","16,709","23,534",16.09,"71,677",20.89,10.83,
159,JB금융지주,"8,480",10,-0.12%,"5,000","16,704","196,983",42.20,"489,240",3.50,10.06,
160,TIGER MSCI Korea TR,"14,895",245,-1.62%,0,"16,623","111,600",12.90,"2,078",N/A,N/A,
161,DGB금융지주,"9,760",220,-2.20%,"5,000","16,509","169,146",49.95,"439,183",3.49,6.93,
162,한미반도체,"33,000","2,100",-5.98%,200,"16,322","49,460",5.95,"639,669",19.62,21.03,
163,대웅제약,"140,000",0,0.00%,"2,500","16,221","11,587",6.05,"25,440",140.56,2.38,
164,아시아나항공,"21,700",100,-0.46%,"5,000","16,147","74,412",7.66,"1,034,928",-3.73,-43.83,
165,LS,"49,450",150,+0.30%,"5,000","15,923","32,200",13.54,"129,139",6.21,3.94,
166,KODEX 단기채권,"103,210",10,+0.01%,0,"15,789","15,298",0.00,"56,708",N/A,N/A,
